venue,cc4,amount,ts
Guy's Gyros,1310,11.22,2014-01-06 13:39
Gelatogalore,7889,22.64,2014-01-06 13:41
Ouzeri Elian,6895,20.4,2014-01-06 13:42
Guy's Gyros,9635,30.82,2014-01-06 13:46
Katerina's Cafe,6899,18.56,2014-01-06 13:46
Guy's Gyros,2463,99.67,2014-01-06 13:46
Kalami Kafenion,1321,22.13,2014-01-06 13:47
Ouzeri Elian,5368,20.74,2014-01-06 13:48
Ouzeri Elian,5921,30.87,2014-01-06 13:48
Katerina's Cafe,1874,13.59,2014-01-06 13:50
Katerina's Cafe,9617,32.64,2014-01-06 13:50
Kalami Kafenion,4434,22.31,2014-01-06 13:52
Gelatogalore,3492,36.33,2014-01-06 13:52
Katerina's Cafe,2142,36.95,2014-01-06 13:53
Abila Zacharo,9405,23.15,2014-01-06 13:54
Hippokampos,1877,8.64,2014-01-06 13:57
Hippokampos,8202,38.25,2014-01-06 13:58
Katerina's Cafe,3853,39.41,2014-01-06 13:59
Kalami Kafenion,7117,13.08,2014-01-06 14:00
Gelatogalore,7819,23.41,2014-01-06 14:00
Hippokampos,4948,30.88,2014-01-06 14:04
Abila Zacharo,7108,78.11,2014-01-06 14:05
Kalami Kafenion,8129,27.4,2014-01-06 14:15
Katerina's Cafe,6901,19.65,2014-01-06 14:17
Abila Airport,9220,777.06,2014-01-06 15:14
Abila Airport,8642,612.47,2014-01-06 15:39
U-Pump,3484,59.51,2014-01-06 17:28
Katerina's Cafe,8411,78.65,2014-01-06 18:56
Katerina's Cafe,8129,26.46,2014-01-06 19:08
Guy's Gyros,7384,39.29,2014-01-06 19:18
Frydos Autosupply n' More,9241,273.87,2014-01-06 19:50
Katerina's Cafe,7253,23.63,2014-01-06 20:07
Katerina's Cafe,1874,12.32,2014-01-06 20:08
Guy's Gyros,6901,11.94,2014-01-06 20:09
Frydos Autosupply n' More,8202,80.85,2014-01-06 20:12
Guy's Gyros,3484,22.57,2014-01-06 20:13
Guy's Gyros,6816,117.82,2014-01-06 20:15
Frydos Autosupply n' More,5368,175.87,2014-01-06 20:15
Katerina's Cafe,2418,21.66,2014-01-06 20:19
Hippokampos,1321,35.34,2014-01-06 20:20
Guy's Gyros,7819,28.94,2014-01-06 20:24
Albert's Fine Clothing,9551,276.9,2014-01-06 20:26
Guy's Gyros,7108,95.29,2014-01-06 20:28
Hippokampos,6895,85.5,2014-01-06 20:29
Katerina's Cafe,9405,17.92,2014-01-06 20:29
Katerina's Cafe,6691,28,2014-01-06 20:30
Katerina's Cafe,5921,15.52,2014-01-06 20:33
Hippokampos,1877,26.8,2014-01-06 20:36
Hippokampos,7117,24.41,2014-01-06 20:46
Hippokampos,1415,21.33,2014-01-06 20:46
Frydos Autosupply n' More,5407,149.3,2014-01-06 20:47
Shoppers' Delight,7354,293.67,2014-01-06 20:49
Hippokampos,7688,17.27,2014-01-06 20:52
Katerina's Cafe,3492,26.1,2014-01-06 20:59
Katerina's Cafe,9617,10.72,2014-01-06 21:03
Albert's Fine Clothing,4434,121.76,2014-01-06 21:03
Hippokampos,8156,28.14,2014-01-06 21:11
Katerina's Cafe,4948,26.51,2014-01-06 21:12
Frydos Autosupply n' More,2142,197.32,2014-01-06 21:23
Frydos Autosupply n' More,1310,314.98,2014-01-06 21:32
Hippokampos,8332,20.61,2014-01-06 21:52
Brew've Been Served,7384,5.08,2014-01-07 07:27
Brew've Been Served,5368,12.74,2014-01-07 07:31
Brew've Been Served,4795,7.09,2014-01-07 07:33
Hallowed Grounds,7889,14.05,2014-01-07 07:35
Hallowed Grounds,8129,8.91,2014-01-07 07:37
Hallowed Grounds,1874,19.59,2014-01-07 07:41
Brew've Been Served,6816,19.6,2014-01-07 07:45
Hallowed Grounds,9551,84.44,2014-01-07 07:46
Coffee Cameleon,5921,9.1,2014-01-07 07:46
Hallowed Grounds,1310,7.88,2014-01-07 07:47
Hallowed Grounds,7108,18.97,2014-01-07 07:48
Coffee Cameleon,7253,27.66,2014-01-07 07:49
Brew've Been Served,5407,4.39,2014-01-07 07:50
Hallowed Grounds,3492,9.61,2014-01-07 07:50
Brew've Been Served,4434,3,2014-01-07 07:52
Brew've Been Served,1286,11.92,2014-01-07 07:54
Brew've Been Served,3484,69.06,2014-01-07 07:55
Brew've Been Served,9683,98.53,2014-01-07 07:56
Hallowed Grounds,6691,10.33,2014-01-07 07:57
Brew've Been Served,8202,17.4,2014-01-07 07:58
Brew've Been Served,4948,11.91,2014-01-07 08:00
Coffee Cameleon,2142,11.55,2014-01-07 08:00
Coffee Cameleon,2418,52.44,2014-01-07 08:01
Hallowed Grounds,9617,9.92,2014-01-07 08:01
Hallowed Grounds,2681,68.42,2014-01-07 08:01
Brew've Been Served,9405,14.49,2014-01-07 08:02
Brew've Been Served,7819,3.03,2014-01-07 08:06
Brew've Been Served,8411,15.66,2014-01-07 08:09
Brew've Been Served,6901,47.74,2014-01-07 08:18
Abila Airport,3506,3840.37,2014-01-07 09:17
Stewart and Sons Fabrication,3506,1200.9,2014-01-07 10:05
Nationwide Refinery,9735,1347.36,2014-01-07 10:11
Stewart and Sons Fabrication,9735,1843.33,2014-01-07 11:31
Nationwide Refinery,7792,1562.66,2014-01-07 11:39
Coffee Shack,7117,16.63,2014-01-07 12:00
Bean There Done That,1415,51.25,2014-01-07 12:00
Brewed Awakenings,7688,12.17,2014-01-07 12:00
Jack's Magical Beans,6899,23.68,2014-01-07 12:00
Brewed Awakenings,3853,64.84,2014-01-07 12:00
Brewed Awakenings,2540,71.59,2014-01-07 12:00
Bean There Done That,1877,53.89,2014-01-07 12:00
Brewed Awakenings,8332,6.72,2014-01-07 12:00
Bean There Done That,1321,8.03,2014-01-07 12:00
Bean There Done That,6895,46.25,2014-01-07 12:00
Jack's Magical Beans,9241,18.77,2014-01-07 12:00
Jack's Magical Beans,8156,19.61,2014-01-07 12:00
Jack's Magical Beans,2463,69.84,2014-01-07 12:00
Nationwide Refinery,3506,1071.04,2014-01-07 12:02
Abila Airport,8642,124.89,2014-01-07 12:29
Katerina's Cafe,7792,59.07,2014-01-07 13:08
Guy's Gyros,8156,29.57,2014-01-07 13:13
Abila Zacharo,1415,13.52,2014-01-07 13:20
Gelatogalore,8332,35.06,2014-01-07 13:20
Guy's Gyros,7354,38.56,2014-01-07 13:20
Kalami Kafenion,1286,45.05,2014-01-07 13:24
Kalami Kafenion,5407,11.64,2014-01-07 13:24
Abila Zacharo,6899,82.25,2014-01-07 13:25
Ouzeri Elian,2142,29.1,2014-01-07 13:29
Gelatogalore,1310,51.64,2014-01-07 13:30
Ouzeri Elian,4948,28.37,2014-01-07 13:32
Abila Zacharo,7688,52.72,2014-01-07 13:33
Gelatogalore,7253,34.04,2014-01-07 13:33
Katerina's Cafe,7889,22.27,2014-01-07 13:33
Guy's Gyros,6816,11.31,2014-01-07 13:33
Kalami Kafenion,4795,18.06,2014-01-07 13:33
Ouzeri Elian,6895,64.84,2014-01-07 13:34
Gelatogalore,2463,8.98,2014-01-07 13:35
Gelatogalore,9551,21.52,2014-01-07 13:37
Gelatogalore,9405,17.21,2014-01-07 13:39
Katerina's Cafe,3484,51.41,2014-01-07 13:41
Abila Zacharo,9683,17.81,2014-01-07 13:41
Ouzeri Elian,5368,97.71,2014-01-07 13:42
Abila Zacharo,2418,32.4,2014-01-07 13:44
Kalami Kafenion,1877,22.83,2014-01-07 13:45
Guy's Gyros,9635,10.11,2014-01-07 13:46
Kalami Kafenion,7108,22.14,2014-01-07 13:46
Gelatogalore,2681,36.5,2014-01-07 13:49
Ouzeri Elian,8411,21.85,2014-01-07 13:50
Gelatogalore,1874,71.77,2014-01-07 13:52
Hippokampos,3853,51.69,2014-01-07 13:53
Gelatogalore,5921,88.97,2014-01-07 13:54
Abila Zacharo,7819,65.9,2014-01-07 13:55
Ouzeri Elian,1321,16.2,2014-01-07 13:56
Katerina's Cafe,8202,37.44,2014-01-07 13:57
Gelatogalore,6691,15.4,2014-01-07 13:57
Hippokampos,3492,76.11,2014-01-07 14:00
Katerina's Cafe,4434,10.9,2014-01-07 14:07
Guy's Gyros,9617,12.57,2014-01-07 14:09
Ouzeri Elian,6901,59.51,2014-01-07 14:09
Hippokampos,8129,37.57,2014-01-07 14:11
Abila Scrapyard,2276,2149.28,2014-01-07 14:16
Kronos Pipe and Irrigation,4530,3920.82,2014-01-07 14:19
Carlyle Chemical Inc.,7792,4803.13,2014-01-07 14:34
Stewart and Sons Fabrication,2276,962.2,2014-01-07 15:03
Maximum Iron and Steel,4530,3207.31,2014-01-07 15:20
Abila Airport,8642,3411.29,2014-01-07 15:41
Nationwide Refinery,2276,889.58,2014-01-07 16:24
Guy's Gyros,7819,14.87,2014-01-07 19:45
Guy's Gyros,3484,31.23,2014-01-07 19:48
Hippokampos,1877,20.17,2014-01-07 20:01
Hippokampos,1415,11.56,2014-01-07 20:02
Albert's Fine Clothing,6895,308.36,2014-01-07 20:04
Katerina's Cafe,7253,19.49,2014-01-07 20:09
Albert's Fine Clothing,7117,78.91,2014-01-07 20:10
Guy's Gyros,7384,42.25,2014-01-07 20:10
Guy's Gyros,4795,26.82,2014-01-07 20:10
Katerina's Cafe,2142,10.07,2014-01-07 20:11
Guy's Gyros,9683,76.71,2014-01-07 20:11
Katerina's Cafe,1874,55.63,2014-01-07 20:12
Katerina's Cafe,7889,94.75,2014-01-07 20:13
Katerina's Cafe,8202,65.02,2014-01-07 20:13
Guy's Gyros,3853,62.33,2014-01-07 20:14
Ouzeri Elian,9241,11.41,2014-01-07 20:15
Katerina's Cafe,8411,31.6,2014-01-07 20:18
Guy's Gyros,7354,89.76,2014-01-07 20:19
Frydos Autosupply n' More,6901,312.73,2014-01-07 20:20
Katerina's Cafe,5921,19.53,2014-01-07 20:32
Katerina's Cafe,9617,17.26,2014-01-07 20:33
Katerina's Cafe,6691,25.54,2014-01-07 20:33
Hippokampos,1321,70.19,2014-01-07 20:34
Guy's Gyros,5368,23.12,2014-01-07 20:34
Katerina's Cafe,3492,32.83,2014-01-07 20:47
Ouzeri Elian,2681,20.53,2014-01-07 20:49
Hippokampos,8156,32.99,2014-01-07 20:51
Katerina's Cafe,9405,33.29,2014-01-07 21:01
Hippokampos,2540,21.2,2014-01-07 21:03
Hippokampos,2463,37.88,2014-01-07 21:17
Katerina's Cafe,1310,18.35,2014-01-07 21:19
Hippokampos,7688,35.85,2014-01-07 21:21
Hippokampos,8332,22.18,2014-01-07 21:51
Brew've Been Served,7354,15.66,2014-01-08 07:31
Hallowed Grounds,7108,12.19,2014-01-08 07:39
Hallowed Grounds,1874,8.15,2014-01-08 07:39
Hallowed Grounds,1310,8.28,2014-01-08 07:39
Hallowed Grounds,8129,5.85,2014-01-08 07:40
Brew've Been Served,4948,3.09,2014-01-08 07:42
Hallowed Grounds,9617,3.4,2014-01-08 07:43
Hallowed Grounds,3492,3.11,2014-01-08 07:47
Brew've Been Served,3853,32.92,2014-01-08 07:48
Brew've Been Served,6816,8.27,2014-01-08 07:48
Brew've Been Served,9683,19.17,2014-01-08 07:48
Brew've Been Served,9405,33.68,2014-01-08 07:50
Hallowed Grounds,2681,3.9,2014-01-08 07:50
Coffee Cameleon,7253,6.59,2014-01-08 07:51
Coffee Cameleon,5921,12.26,2014-01-08 07:52
Hallowed Grounds,7889,79.92,2014-01-08 07:55
Brew've Been Served,3484,91.87,2014-01-08 07:55
Hallowed Grounds,9551,12.86,2014-01-08 07:56
Brew've Been Served,5368,74.88,2014-01-08 07:57
Hallowed Grounds,6691,11.63,2014-01-08 07:57
Brew've Been Served,5407,8.4,2014-01-08 07:58
Coffee Cameleon,2142,15.71,2014-01-08 07:59
Brew've Been Served,4795,32.3,2014-01-08 08:00
Brew've Been Served,8202,3.92,2014-01-08 08:01
Brew've Been Served,7819,17.13,2014-01-08 08:01
Brew've Been Served,7384,3.42,2014-01-08 08:01
Brew've Been Served,6901,10.15,2014-01-08 08:03
Brew've Been Served,8411,11.48,2014-01-08 08:09
Brew've Been Served,1286,7.26,2014-01-08 08:16
Brew've Been Served,4434,6.3,2014-01-08 08:18
Coffee Cameleon,2418,16.17,2014-01-08 08:22
Carlyle Chemical Inc.,7792,3048.31,2014-01-08 09:43
Nationwide Refinery,9152,4513.16,2014-01-08 09:54
Nationwide Refinery,9735,3674.32,2014-01-08 10:14
Stewart and Sons Fabrication,9152,1738.26,2014-01-08 11:28
Stewart and Sons Fabrication,9735,1673.77,2014-01-08 11:58
Coffee Shack,7117,13.13,2014-01-08 12:00
Bean There Done That,1415,17.45,2014-01-08 12:00
Bean There Done That,9635,12.07,2014-01-08 12:00
Brewed Awakenings,7688,11.73,2014-01-08 12:00
Jack's Magical Beans,6899,3.96,2014-01-08 12:00
Brewed Awakenings,2540,12.32,2014-01-08 12:00
Bean There Done That,1877,8.06,2014-01-08 12:00
Brewed Awakenings,8332,15.03,2014-01-08 12:00
Bean There Done That,1321,94.96,2014-01-08 12:00
Jack's Magical Beans,9241,18.78,2014-01-08 12:00
Jack's Magical Beans,8156,12.37,2014-01-08 12:00
Jack's Magical Beans,2463,31.25,2014-01-08 12:00
Frank's Fuel,3853,65.34,2014-01-08 12:29
Abila Airport,8642,2723.18,2014-01-08 12:45
Chostus Hotel,2540,107.51,2014-01-08 12:56
Carlyle Chemical Inc.,4530,4983.52,2014-01-08 13:03
Abila Zacharo,5407,22.13,2014-01-08 13:10
Hippokampos,8332,26.55,2014-01-08 13:12
Hippokampos,4795,9.03,2014-01-08 13:15
Katerina's Cafe,7792,29.26,2014-01-08 13:19
Chostus Hotel,9683,111.89,2014-01-08 13:19
Ouzeri Elian,8156,109.73,2014-01-08 13:21
Abila Zacharo,2463,36.85,2014-01-08 13:23
Hippokampos,7253,16.59,2014-01-08 13:26
Gelatogalore,8411,32.79,2014-01-08 13:27
Katerina's Cafe,6899,8.53,2014-01-08 13:28
Gelatogalore,9405,20.72,2014-01-08 13:28
Kalami Kafenion,5921,24.08,2014-01-08 13:29
Hippokampos,1321,37.89,2014-01-08 13:31
Guy's Gyros,7384,30.12,2014-01-08 13:32
Abila Zacharo,1415,14.41,2014-01-08 13:34
Katerina's Cafe,1310,88.98,2014-01-08 13:34
Gelatogalore,1286,50.36,2014-01-08 13:38
Gelatogalore,3484,119.75,2014-01-08 13:39
Guy's Gyros,3853,77.9,2014-01-08 13:40
Katerina's Cafe,2142,26.45,2014-01-08 13:41
Gelatogalore,7889,35.29,2014-01-08 13:42
Kalami Kafenion,8202,22.49,2014-01-08 13:42
Katerina's Cafe,6895,57.04,2014-01-08 13:42
Hippokampos,9551,39.8,2014-01-08 13:43
Kalami Kafenion,7354,31.96,2014-01-08 13:44
Kalami Kafenion,3492,23.82,2014-01-08 13:45
Abila Zacharo,2681,28.25,2014-01-08 13:46
Katerina's Cafe,1877,27.05,2014-01-08 13:47
Gelatogalore,2418,22.27,2014-01-08 13:47
Ouzeri Elian,5368,104.92,2014-01-08 13:47
Hippokampos,9635,28.79,2014-01-08 13:48
Gelatogalore,7819,116.72,2014-01-08 13:48
Guy's Gyros,1874,15.86,2014-01-08 13:51
Abila Zacharo,6901,30.85,2014-01-08 13:51
Kalami Kafenion,6816,14.77,2014-01-08 13:52
Abila Zacharo,9617,16.2,2014-01-08 13:53
Guy's Gyros,4434,10.34,2014-01-08 13:57
Katerina's Cafe,7108,22.94,2014-01-08 14:06
Kronos Pipe and Irrigation,4530,3615.61,2014-01-08 14:09
Kalami Kafenion,7117,34.98,2014-01-08 14:15
Gelatogalore,4948,39.94,2014-01-08 14:17
Kalami Kafenion,8129,31.43,2014-01-08 14:19
Carlyle Chemical Inc.,7792,4901.88,2014-01-08 14:26
Maximum Iron and Steel,4530,3136.01,2014-01-08 15:18
Abila Airport,8642,2769.12,2014-01-08 15:29
Hippokampos,1415,10.52,2014-01-08 19:21
Hippokampos,2540,16.54,2014-01-08 19:28
Katerina's Cafe,5407,34.25,2014-01-08 19:32
Guy's Gyros,7354,15.69,2014-01-08 19:36
Guy's Gyros,4434,30.48,2014-01-08 19:48
Katerina's Cafe,8411,13.83,2014-01-08 20:00
Hippokampos,6895,32.66,2014-01-08 20:02
Guy's Gyros,7384,28.81,2014-01-08 20:07
Frydos Autosupply n' More,2418,214.07,2014-01-08 20:07
Guy's Gyros,5368,33.02,2014-01-08 20:08
Katerina's Cafe,1310,31.59,2014-01-08 20:08
Ouzeri Elian,1286,62.2,2014-01-08 20:12
Guy's Gyros,3484,99.08,2014-01-08 20:15
Frydos Autosupply n' More,3853,182.56,2014-01-08 20:17
Guy's Gyros,9683,18.24,2014-01-08 20:17
Katerina's Cafe,2142,33.31,2014-01-08 20:27
Hippokampos,7117,96.75,2014-01-08 20:28
Frydos Autosupply n' More,6691,268.89,2014-01-08 20:28
Katerina's Cafe,7889,36.6,2014-01-08 20:31
Katerina's Cafe,8202,16.93,2014-01-08 20:35
Katerina's Cafe,5921,92.83,2014-01-08 20:42
Albert's Fine Clothing,9635,136.01,2014-01-08 20:45
Hippokampos,8332,15.64,2014-01-08 20:49
Hippokampos,7688,26.31,2014-01-08 20:53
Guy's Gyros,6901,10.28,2014-01-08 20:57
Guy's Gyros,7819,22.91,2014-01-08 20:58
General Grocer,7108,265.84,2014-01-08 21:00
Katerina's Cafe,4948,28.86,2014-01-08 21:02
Katerina's Cafe,1874,27.87,2014-01-08 21:09
Ouzeri Elian,9551,30.81,2014-01-08 21:16
Ouzeri Elian,6899,29.85,2014-01-08 21:17
Hippokampos,2463,78.99,2014-01-08 21:32
Coffee Cameleon,7253,12.47,2014-01-09 07:35
Brew've Been Served,9683,70.71,2014-01-09 07:36
Hallowed Grounds,1310,17.56,2014-01-09 07:37
Coffee Cameleon,5921,19.99,2014-01-09 07:37
Hallowed Grounds,7108,56.77,2014-01-09 07:42
Brew've Been Served,5368,5.43,2014-01-09 07:43
Hallowed Grounds,8129,75.24,2014-01-09 07:46
Brew've Been Served,4948,4.4,2014-01-09 07:46
Brew've Been Served,7384,5.3,2014-01-09 07:48
Brew've Been Served,7354,34.85,2014-01-09 07:48
Brew've Been Served,4795,5.13,2014-01-09 07:48
Hallowed Grounds,9551,34.45,2014-01-09 07:50
Hallowed Grounds,7889,19.22,2014-01-09 07:51
Brew've Been Served,8202,98.25,2014-01-09 07:56
Hallowed Grounds,9617,18.48,2014-01-09 07:57
Brew've Been Served,8411,5.26,2014-01-09 07:57
Hallowed Grounds,9405,50.25,2014-01-09 07:57
Brew've Been Served,6901,19.47,2014-01-09 07:58
Brew've Been Served,7819,6.61,2014-01-09 08:00
Brew've Been Served,4434,6.21,2014-01-09 08:00
Brew've Been Served,3484,92.12,2014-01-09 08:01
Coffee Cameleon,2142,16.13,2014-01-09 08:03
Hallowed Grounds,3492,65.68,2014-01-09 08:07
Brew've Been Served,1286,17.64,2014-01-09 08:14
Brew've Been Served,5407,5.57,2014-01-09 08:15
Hallowed Grounds,2681,15.33,2014-01-09 08:15
Abila Airport,3506,2358.22,2014-01-09 09:26
Carlyle Chemical Inc.,7792,529.47,2014-01-09 09:54
Nationwide Refinery,9735,674.28,2014-01-09 10:16
Stewart and Sons Fabrication,3506,1015.65,2014-01-09 10:38
Carlyle Chemical Inc.,4530,732.82,2014-01-09 11:21
Nationwide Refinery,7792,289.3,2014-01-09 11:34
Stewart and Sons Fabrication,9735,3544,2014-01-09 11:37
Coffee Shack,7117,5.01,2014-01-09 12:00
Bean There Done That,1415,13,2014-01-09 12:00
Brewed Awakenings,7688,11.76,2014-01-09 12:00
Jack's Magical Beans,6899,10.11,2014-01-09 12:00
Jack's Magical Beans,3853,6,2014-01-09 12:00
Brewed Awakenings,2540,13.16,2014-01-09 12:00
Bean There Done That,1877,4.06,2014-01-09 12:00
Brewed Awakenings,8332,17.66,2014-01-09 12:00
Bean There Done That,1321,15.53,2014-01-09 12:00
Jack's Magical Beans,9241,12.13,2014-01-09 12:00
Jack's Magical Beans,8156,15.55,2014-01-09 12:00
Jack's Magical Beans,2463,37.43,2014-01-09 12:00
Abila Airport,8642,202.93,2014-01-09 12:13
Nationwide Refinery,3506,1440.39,2014-01-09 12:49
Ouzeri Elian,8332,31.03,2014-01-09 12:59
Katerina's Cafe,7253,17.02,2014-01-09 13:03
Gelatogalore,5407,19.2,2014-01-09 13:12
Abila Airport,2276,4792.5,2014-01-09 13:18
Ouzeri Elian,7688,26.09,2014-01-09 13:21
Gelatogalore,4795,23.45,2014-01-09 13:21
Guy's Gyros,7354,105.4,2014-01-09 13:21
Gelatogalore,6899,8.6,2014-01-09 13:23
Gelatogalore,2540,56.74,2014-01-09 13:23
Ouzeri Elian,6816,22.4,2014-01-09 13:23
Katerina's Cafe,7792,16.98,2014-01-09 13:23
Abila Zacharo,3484,8.16,2014-01-09 13:24
Kalami Kafenion,6895,110.76,2014-01-09 13:27
Katerina's Cafe,8156,25.85,2014-01-09 13:27
Guy's Gyros,7889,13.59,2014-01-09 13:28
Hippokampos,2418,27.47,2014-01-09 13:29
Abila Zacharo,2463,8.6,2014-01-09 13:32
Katerina's Cafe,3853,10.42,2014-01-09 13:35
Gelatogalore,8411,23.23,2014-01-09 13:35
Hippokampos,9683,27.93,2014-01-09 13:36
Hippokampos,1321,9.12,2014-01-09 13:37
Kalami Kafenion,7384,18.14,2014-01-09 13:38
Abila Zacharo,1874,20.73,2014-01-09 13:40
Gelatogalore,9405,11.94,2014-01-09 13:40
Abila Zacharo,9551,89.41,2014-01-09 13:41
Hippokampos,9635,8.43,2014-01-09 13:41
Hippokampos,5368,39.22,2014-01-09 13:41
Guy's Gyros,1415,74.91,2014-01-09 13:43
Guy's Gyros,9617,15,2014-01-09 13:44
Gelatogalore,2681,24.68,2014-01-09 13:45
Abila Zacharo,1286,48.39,2014-01-09 13:47
Hippokampos,1310,13.84,2014-01-09 13:51
Hippokampos,2142,16.65,2014-01-09 13:53
Kalami Kafenion,4948,19.84,2014-01-09 13:56
Hippokampos,4434,65.7,2014-01-09 13:56
Guy's Gyros,6901,8.87,2014-01-09 13:56
Kalami Kafenion,6691,35.99,2014-01-09 14:03
Kalami Kafenion,8129,10.94,2014-01-09 14:04
Ouzeri Elian,7108,32.89,2014-01-09 14:04
Katerina's Cafe,1877,8.01,2014-01-09 14:06
Guy's Gyros,8202,27.69,2014-01-09 14:09
Abila Scrapyard,2276,1158.36,2014-01-09 14:12
Guy's Gyros,5921,17.44,2014-01-09 14:13
Abila Zacharo,7819,14.37,2014-01-09 14:15
Gelatogalore,7117,36.75,2014-01-09 14:18
Carlyle Chemical Inc.,7792,382.43,2014-01-09 14:26
Kronos Pipe and Irrigation,4530,423.14,2014-01-09 14:28
Stewart and Sons Fabrication,2276,918.6,2014-01-09 15:00
Maximum Iron and Steel,4530,1527.14,2014-01-09 15:16
Abila Airport,8642,4538.52,2014-01-09 15:50
Carlyle Chemical Inc.,7792,2176.2,2014-01-09 16:22
Nationwide Refinery,2276,1322.5,2014-01-09 16:27
Katerina's Cafe,8129,35.92,2014-01-09 19:25
Katerina's Cafe,5921,26.6,2014-01-09 19:30
Frydos Autosupply n' More,3484,138.02,2014-01-09 19:32
Guy's Gyros,7354,31.81,2014-01-09 19:41
Ouzeri Elian,6899,27.08,2014-01-09 19:42
Ouzeri Elian,9241,31.07,2014-01-09 19:43
Guy's Gyros,6816,29.96,2014-01-09 19:52
Hippokampos,2540,15.02,2014-01-09 20:05
Katerina's Cafe,4948,26.6,2014-01-09 20:06
Katerina's Cafe,3492,19.02,2014-01-09 20:08
Katerina's Cafe,6691,90.97,2014-01-09 20:09
Hippokampos,1877,70.68,2014-01-09 20:15
General Grocer,4795,285.34,2014-01-09 20:19
Katerina's Cafe,9405,91.14,2014-01-09 20:20
Frydos Autosupply n' More,6901,31.24,2014-01-09 20:20
Albert's Fine Clothing,7117,224.52,2014-01-09 20:21
Frydos Autosupply n' More,1321,120.65,2014-01-09 20:21
Katerina's Cafe,8202,29.82,2014-01-09 20:22
Guy's Gyros,7889,8.23,2014-01-09 20:23
Guy's Gyros,1286,18.26,2014-01-09 20:24
Katerina's Cafe,5407,53.78,2014-01-09 20:27
