last4ccnum,location,price,timestamp
4434,Kalami Kafenion,22.31,01/06/2014 13:52
3492,Gelatogalore,36.33,01/06/2014 13:52
2142,Katerina's Cafe,36.95,01/06/2014 13:53
9405,Abila Zacharo,23.15,01/06/2014 13:54
1877,Hippokampos,8.64,01/06/2014 13:57
8202,Hippokampos,38.25,01/06/2014 13:58
3853,Katerina's Cafe,39.41,01/06/2014 13:59
7117,Kalami Kafenion,13.08,01/06/2014 14:00
7819,Gelatogalore,23.41,01/06/2014 14:00
4948,Hippokampos,30.88,01/06/2014 14:04
7108,Abila Zacharo,78.11,01/06/2014 14:05
8129,Kalami Kafenion,27.4,01/06/2014 14:15
6901,Katerina's Cafe,19.65,01/06/2014 14:17
9220,Abila Airport,777.06,01/06/2014 15:14
8642,Abila Airport,612.47,01/06/2014 15:39
3484,U-Pump,59.51,01/06/2014 17:28
8411,Katerina's Cafe,78.65,01/06/2014 18:56
8129,Katerina's Cafe,26.46,01/06/2014 19:08
7384,Guy's Gyros,39.29,01/06/2014 19:18
9241,Frydos Autosupply n' More,273.87,01/06/2014 19:50
7253,Katerina's Cafe,23.63,01/06/2014 20:07
1874,Katerina's Cafe,12.32,01/06/2014 20:08
6901,Guy's Gyros,11.94,01/06/2014 20:09
8202,Frydos Autosupply n' More,80.85,01/06/2014 20:12
3484,Guy's Gyros,22.57,01/06/2014 20:13
6816,Guy's Gyros,117.82,01/06/2014 20:15
5368,Frydos Autosupply n' More,175.87,01/06/2014 20:15
2418,Katerina's Cafe,21.66,01/06/2014 20:19
1321,Hippokampos,35.34,01/06/2014 20:20
7819,Guy's Gyros,28.94,01/06/2014 20:24
9551,Albert's Fine Clothing,276.9,01/06/2014 20:26
7108,Guy's Gyros,95.29,01/06/2014 20:28
6895,Hippokampos,85.5,01/06/2014 20:29
9405,Katerina's Cafe,17.92,01/06/2014 20:29
6691,Katerina's Cafe,28,01/06/2014 20:30
5921,Katerina's Cafe,15.52,01/06/2014 20:33
1877,Hippokampos,26.8,01/06/2014 20:36
7117,Hippokampos,24.41,01/06/2014 20:46
1415,Hippokampos,21.33,01/06/2014 20:46
5407,Frydos Autosupply n' More,149.3,01/06/2014 20:47
7354,Shoppers' Delight,293.67,01/06/2014 20:49
7688,Hippokampos,17.27,01/06/2014 20:52
3492,Katerina's Cafe,26.1,01/06/2014 20:59
9617,Katerina's Cafe,10.72,01/06/2014 21:03
4434,Albert's Fine Clothing,121.76,01/06/2014 21:03
8156,Hippokampos,28.14,01/06/2014 21:11
4948,Katerina's Cafe,26.51,01/06/2014 21:12
2142,Frydos Autosupply n' More,197.32,01/06/2014 21:23
1310,Frydos Autosupply n' More,314.98,01/06/2014 21:32
8332,Hippokampos,20.61,01/06/2014 21:52
7384,Brew've Been Served,5.08,01/07/2014 07:27
5368,Brew've Been Served,12.74,01/07/2014 07:31
4795,Brew've Been Served,7.09,01/07/2014 07:33
7889,Hallowed Grounds,14.05,01/07/2014 07:35
8129,Hallowed Grounds,8.91,01/07/2014 07:37
1874,Hallowed Grounds,19.59,01/07/2014 07:41
6816,Brew've Been Served,19.6,01/07/2014 07:45
9551,Hallowed Grounds,84.44,01/07/2014 07:46
5921,Coffee Cameleon,9.1,01/07/2014 07:46
1310,Hallowed Grounds,7.88,01/07/2014 07:47
7108,Hallowed Grounds,18.97,01/07/2014 07:48
7253,Coffee Cameleon,27.66,01/07/2014 07:49
5407,Brew've Been Served,4.39,01/07/2014 07:50
3492,Hallowed Grounds,9.61,01/07/2014 07:50
4434,Brew've Been Served,3,01/07/2014 07:52
1286,Brew've Been Served,11.92,01/07/2014 07:54
3484,Brew've Been Served,69.06,01/07/2014 07:55
9683,Brew've Been Served,98.53,01/07/2014 07:56
6691,Hallowed Grounds,10.33,01/07/2014 07:57
8202,Brew've Been Served,17.4,01/07/2014 07:58
4948,Brew've Been Served,11.91,01/07/2014 08:00
2142,Coffee Cameleon,11.55,01/07/2014 08:00
2418,Coffee Cameleon,52.44,01/07/2014 08:01
9617,Hallowed Grounds,9.92,01/07/2014 08:01
2681,Hallowed Grounds,68.42,01/07/2014 08:01
9405,Brew've Been Served,14.49,01/07/2014 08:02
7819,Brew've Been Served,3.03,01/07/2014 08:06
8411,Brew've Been Served,15.66,01/07/2014 08:09
6901,Brew've Been Served,47.74,01/07/2014 08:18
3506,Abila Airport,3840.37,01/07/2014 09:17
3506,Stewart and Sons Fabrication,1200.9,01/07/2014 10:05
9735,Nationwide Refinery,1347.36,01/07/2014 10:11
9735,Stewart and Sons Fabrication,1843.33,01/07/2014 11:31
7792,Nationwide Refinery,1562.66,01/07/2014 11:39
7117,Coffee Shack,16.63,01/07/2014 12:00
1415,Bean There Done That,51.25,01/07/2014 12:00
7688,Brewed Awakenings,12.17,01/07/2014 12:00
6899,Jack's Magical Beans,23.68,01/07/2014 12:00
3853,Brewed Awakenings,64.84,01/07/2014 12:00
2540,Brewed Awakenings,71.59,01/07/2014 12:00
1877,Bean There Done That,53.89,01/07/2014 12:00
8332,Brewed Awakenings,6.72,01/07/2014 12:00
1321,Bean There Done That,8.03,01/07/2014 12:00
6895,Bean There Done That,46.25,01/07/2014 12:00
9241,Jack's Magical Beans,18.77,01/07/2014 12:00
8156,Jack's Magical Beans,19.61,01/07/2014 12:00
2463,Jack's Magical Beans,69.84,01/07/2014 12:00
3506,Nationwide Refinery,1071.04,01/07/2014 12:02
8642,Abila Airport,124.89,01/07/2014 12:29
7792,Katerina's Cafe,59.07,01/07/2014 13:08
8156,Guy's Gyros,29.57,01/07/2014 13:13
1415,Abila Zacharo,13.52,01/07/2014 13:20
8332,Gelatogalore,35.06,01/07/2014 13:20
7354,Guy's Gyros,38.56,01/07/2014 13:20
1286,Kalami Kafenion,45.05,01/07/2014 13:24
5407,Kalami Kafenion,11.64,01/07/2014 13:24
6899,Abila Zacharo,82.25,01/07/2014 13:25
2142,Ouzeri Elian,29.1,01/07/2014 13:29
1310,Gelatogalore,51.64,01/07/2014 13:30
4948,Ouzeri Elian,28.37,01/07/2014 13:32
7688,Abila Zacharo,52.72,01/07/2014 13:33
7253,Gelatogalore,34.04,01/07/2014 13:33
7889,Katerina's Cafe,22.27,01/07/2014 13:33
6816,Guy's Gyros,11.31,01/07/2014 13:33
4795,Kalami Kafenion,18.06,01/07/2014 13:33
6895,Ouzeri Elian,64.84,01/07/2014 13:34
2463,Gelatogalore,8.98,01/07/2014 13:35
9551,Gelatogalore,21.52,01/07/2014 13:37
9405,Gelatogalore,17.21,01/07/2014 13:39
3484,Katerina's Cafe,51.41,01/07/2014 13:41
9683,Abila Zacharo,17.81,01/07/2014 13:41
5368,Ouzeri Elian,97.71,01/07/2014 13:42
2418,Abila Zacharo,32.4,01/07/2014 13:44
1877,Kalami Kafenion,22.83,01/07/2014 13:45
9635,Guy's Gyros,10.11,01/07/2014 13:46
7108,Kalami Kafenion,22.14,01/07/2014 13:46
2681,Gelatogalore,36.5,01/07/2014 13:49
8411,Ouzeri Elian,21.85,01/07/2014 13:50
1874,Gelatogalore,71.77,01/07/2014 13:52
3853,Hippokampos,51.69,01/07/2014 13:53
5921,Gelatogalore,88.97,01/07/2014 13:54
7819,Abila Zacharo,65.9,01/07/2014 13:55
1321,Ouzeri Elian,16.2,01/07/2014 13:56
8202,Katerina's Cafe,37.44,01/07/2014 13:57
6691,Gelatogalore,15.4,01/07/2014 13:57
3492,Hippokampos,76.11,01/07/2014 14:00
4434,Katerina's Cafe,10.9,01/07/2014 14:07
9617,Guy's Gyros,12.57,01/07/2014 14:09
6901,Ouzeri Elian,59.51,01/07/2014 14:09
8129,Hippokampos,37.57,01/07/2014 14:11
2276,Abila Scrapyard,2149.28,01/07/2014 14:16
4530,Kronos Pipe and Irrigation,3920.82,01/07/2014 14:19
7792,Carlyle Chemical Inc.,4803.13,01/07/2014 14:34
2276,Stewart and Sons Fabrication,962.2,01/07/2014 15:03
4530,Maximum Iron and Steel,3207.31,01/07/2014 15:20
8642,Abila Airport,3411.29,01/07/2014 15:41
2276,Nationwide Refinery,889.58,01/07/2014 16:24
7819,Guy's Gyros,14.87,01/07/2014 19:45
3484,Guy's Gyros,31.23,01/07/2014 19:48
1877,Hippokampos,20.17,01/07/2014 20:01
1415,Hippokampos,11.56,01/07/2014 20:02
6895,Albert's Fine Clothing,308.36,01/07/2014 20:04
7253,Katerina's Cafe,19.49,01/07/2014 20:09
7117,Albert's Fine Clothing,78.91,01/07/2014 20:10
7384,Guy's Gyros,42.25,01/07/2014 20:10
4795,Guy's Gyros,26.82,01/07/2014 20:10
2142,Katerina's Cafe,10.07,01/07/2014 20:11
9683,Guy's Gyros,76.71,01/07/2014 20:11
1874,Katerina's Cafe,55.63,01/07/2014 20:12
7889,Katerina's Cafe,94.75,01/07/2014 20:13
8202,Katerina's Cafe,65.02,01/07/2014 20:13
3853,Guy's Gyros,62.33,01/07/2014 20:14
9241,Ouzeri Elian,11.41,01/07/2014 20:15
8411,Katerina's Cafe,31.6,01/07/2014 20:18
7354,Guy's Gyros,89.76,01/07/2014 20:19
6901,Frydos Autosupply n' More,312.73,01/07/2014 20:20
5921,Katerina's Cafe,19.53,01/07/2014 20:32
9617,Katerina's Cafe,17.26,01/07/2014 20:33
6691,Katerina's Cafe,25.54,01/07/2014 20:33
1321,Hippokampos,70.19,01/07/2014 20:34
5368,Guy's Gyros,23.12,01/07/2014 20:34
3492,Katerina's Cafe,32.83,01/07/2014 20:47
2681,Ouzeri Elian,20.53,01/07/2014 20:49
8156,Hippokampos,32.99,01/07/2014 20:51
9405,Katerina's Cafe,33.29,01/07/2014 21:01
2540,Hippokampos,21.2,01/07/2014 21:03
2463,Hippokampos,37.88,01/07/2014 21:17
1310,Katerina's Cafe,18.35,01/07/2014 21:19
7688,Hippokampos,35.85,01/07/2014 21:21
8332,Hippokampos,22.18,01/07/2014 21:51
7354,Brew've Been Served,15.66,01/08/2014 07:31
7108,Hallowed Grounds,12.19,01/08/2014 07:39
1874,Hallowed Grounds,8.15,01/08/2014 07:39
1310,Hallowed Grounds,8.28,01/08/2014 07:39
8129,Hallowed Grounds,5.85,01/08/2014 07:40
4948,Brew've Been Served,3.09,01/08/2014 07:42
9617,Hallowed Grounds,3.4,01/08/2014 07:43
3492,Hallowed Grounds,3.11,01/08/2014 07:47
3853,Brew've Been Served,32.92,01/08/2014 07:48
6816,Brew've Been Served,8.27,01/08/2014 07:48
9683,Brew've Been Served,19.17,01/08/2014 07:48
9405,Brew've Been Served,33.68,01/08/2014 07:50
2681,Hallowed Grounds,3.9,01/08/2014 07:50
7253,Coffee Cameleon,6.59,01/08/2014 07:51
5921,Coffee Cameleon,12.26,01/08/2014 07:52
7889,Hallowed Grounds,79.92,01/08/2014 07:55
3484,Brew've Been Served,91.87,01/08/2014 07:55
9551,Hallowed Grounds,12.86,01/08/2014 07:56
5368,Brew've Been Served,74.88,01/08/2014 07:57
6691,Hallowed Grounds,11.63,01/08/2014 07:57
5407,Brew've Been Served,8.4,01/08/2014 07:58
2142,Coffee Cameleon,15.71,01/08/2014 07:59
4795,Brew've Been Served,32.3,01/08/2014 08:00
8202,Brew've Been Served,3.92,01/08/2014 08:01
7819,Brew've Been Served,17.13,01/08/2014 08:01
7384,Brew've Been Served,3.42,01/08/2014 08:01
6901,Brew've Been Served,10.15,01/08/2014 08:03
8411,Brew've Been Served,11.48,01/08/2014 08:09
1286,Brew've Been Served,7.26,01/08/2014 08:16
4434,Brew've Been Served,6.3,01/08/2014 08:18
2418,Coffee Cameleon,16.17,01/08/2014 08:22
7792,Carlyle Chemical Inc.,3048.31,01/08/2014 09:43
9152,Nationwide Refinery,4513.16,01/08/2014 09:54
9735,Nationwide Refinery,3674.32,01/08/2014 10:14
9152,Stewart and Sons Fabrication,1738.26,01/08/2014 11:28
9735,Stewart and Sons Fabrication,1673.77,01/08/2014 11:58
7117,Coffee Shack,13.13,01/08/2014 12:00
1415,Bean There Done That,17.45,01/08/2014 12:00
9635,Bean There Done That,12.07,01/08/2014 12:00
7688,Brewed Awakenings,11.73,01/08/2014 12:00
6899,Jack's Magical Beans,3.96,01/08/2014 12:00
2540,Brewed Awakenings,12.32,01/08/2014 12:00
1877,Bean There Done That,8.06,01/08/2014 12:00
8332,Brewed Awakenings,15.03,01/08/2014 12:00
1321,Bean There Done That,94.96,01/08/2014 12:00
9241,Jack's Magical Beans,18.78,01/08/2014 12:00
8156,Jack's Magical Beans,12.37,01/08/2014 12:00
2463,Jack's Magical Beans,31.25,01/08/2014 12:00
3853,Frank's Fuel,65.34,01/08/2014 12:29
8642,Abila Airport,2723.18,01/08/2014 12:45
2540,Chostus Hotel,107.51,01/08/2014 12:56
4530,Carlyle Chemical Inc.,4983.52,01/08/2014 13:03
5407,Abila Zacharo,22.13,01/08/2014 13:10
8332,Hippokampos,26.55,01/08/2014 13:12
4795,Hippokampos,9.03,01/08/2014 13:15
7792,Katerina's Cafe,29.26,01/08/2014 13:19
9683,Chostus Hotel,111.89,01/08/2014 13:19
8156,Ouzeri Elian,109.73,01/08/2014 13:21
2463,Abila Zacharo,36.85,01/08/2014 13:23
7253,Hippokampos,16.59,01/08/2014 13:26
8411,Gelatogalore,32.79,01/08/2014 13:27
6899,Katerina's Cafe,8.53,01/08/2014 13:28
9405,Gelatogalore,20.72,01/08/2014 13:28
5921,Kalami Kafenion,24.08,01/08/2014 13:29
1321,Hippokampos,37.89,01/08/2014 13:31
7384,Guy's Gyros,30.12,01/08/2014 13:32
1415,Abila Zacharo,14.41,01/08/2014 13:34
1310,Katerina's Cafe,88.98,01/08/2014 13:34
1286,Gelatogalore,50.36,01/08/2014 13:38
3484,Gelatogalore,119.75,01/08/2014 13:39
3853,Guy's Gyros,77.9,01/08/2014 13:40
2142,Katerina's Cafe,26.45,01/08/2014 13:41
7889,Gelatogalore,35.29,01/08/2014 13:42
8202,Kalami Kafenion,22.49,01/08/2014 13:42
6895,Katerina's Cafe,57.04,01/08/2014 13:42
9551,Hippokampos,39.8,01/08/2014 13:43
7354,Kalami Kafenion,31.96,01/08/2014 13:44
3492,Kalami Kafenion,23.82,01/08/2014 13:45
2681,Abila Zacharo,28.25,01/08/2014 13:46
1877,Katerina's Cafe,27.05,01/08/2014 13:47
2418,Gelatogalore,22.27,01/08/2014 13:47
5368,Ouzeri Elian,104.92,01/08/2014 13:47
9635,Hippokampos,28.79,01/08/2014 13:48
7819,Gelatogalore,116.72,01/08/2014 13:48
1874,Guy's Gyros,15.86,01/08/2014 13:51
6901,Abila Zacharo,30.85,01/08/2014 13:51
6816,Kalami Kafenion,14.77,01/08/2014 13:52
9617,Abila Zacharo,16.2,01/08/2014 13:53
4434,Guy's Gyros,10.34,01/08/2014 13:57
7108,Katerina's Cafe,22.94,01/08/2014 14:06
4530,Kronos Pipe and Irrigation,3615.61,01/08/2014 14:09
7117,Kalami Kafenion,34.98,01/08/2014 14:15
4948,Gelatogalore,39.94,01/08/2014 14:17
8129,Kalami Kafenion,31.43,01/08/2014 14:19
7792,Carlyle Chemical Inc.,4901.88,01/08/2014 14:26
4530,Maximum Iron and Steel,3136.01,01/08/2014 15:18
8642,Abila Airport,2769.12,01/08/2014 15:29
1415,Hippokampos,10.52,01/08/2014 19:21
2540,Hippokampos,16.54,01/08/2014 19:28
5407,Katerina's Cafe,34.25,01/08/2014 19:32
7354,Guy's Gyros,15.69,01/08/2014 19:36
4434,Guy's Gyros,30.48,01/08/2014 19:48
8411,Katerina's Cafe,13.83,01/08/2014 20:00
6895,Hippokampos,32.66,01/08/2014 20:02
7384,Guy's Gyros,28.81,01/08/2014 20:07
2418,Frydos Autosupply n' More,214.07,01/08/2014 20:07
5368,Guy's Gyros,33.02,01/08/2014 20:08
1310,Katerina's Cafe,31.59,01/08/2014 20:08
1286,Ouzeri Elian,62.2,01/08/2014 20:12
3484,Guy's Gyros,99.08,01/08/2014 20:15
3853,Frydos Autosupply n' More,182.56,01/08/2014 20:17
9683,Guy's Gyros,18.24,01/08/2014 20:17
2142,Katerina's Cafe,33.31,01/08/2014 20:27
7117,Hippokampos,96.75,01/08/2014 20:28
6691,Frydos Autosupply n' More,268.89,01/08/2014 20:28
7889,Katerina's Cafe,36.6,01/08/2014 20:31
8202,Katerina's Cafe,16.93,01/08/2014 20:35
5921,Katerina's Cafe,92.83,01/08/2014 20:42
9635,Albert's Fine Clothing,136.01,01/08/2014 20:45
8332,Hippokampos,15.64,01/08/2014 20:49
7688,Hippokampos,26.31,01/08/2014 20:53
6901,Guy's Gyros,10.28,01/08/2014 20:57
7819,Guy's Gyros,22.91,01/08/2014 20:58
7108,General Grocer,265.84,01/08/2014 21:00
4948,Katerina's Cafe,28.86,01/08/2014 21:02
1874,Katerina's Cafe,27.87,01/08/2014 21:09
9551,Ouzeri Elian,30.81,01/08/2014 21:16
6899,Ouzeri Elian,29.85,01/08/2014 21:17
2463,Hippokampos,78.99,01/08/2014 21:32
7253,Coffee Cameleon,12.47,01/09/2014 07:35
9683,Brew've Been Served,70.71,01/09/2014 07:36
1310,Hallowed Grounds,17.56,01/09/2014 07:37
5921,Coffee Cameleon,19.99,01/09/2014 07:37
7108,Hallowed Grounds,56.77,01/09/2014 07:42
5368,Brew've Been Served,5.43,01/09/2014 07:43
8129,Hallowed Grounds,75.24,01/09/2014 07:46
4948,Brew've Been Served,4.4,01/09/2014 07:46
7384,Brew've Been Served,5.3,01/09/2014 07:48
7354,Brew've Been Served,34.85,01/09/2014 07:48
4795,Brew've Been Served,5.13,01/09/2014 07:48
9551,Hallowed Grounds,34.45,01/09/2014 07:50
7889,Hallowed Grounds,19.22,01/09/2014 07:51
8202,Brew've Been Served,98.25,01/09/2014 07:56
9617,Hallowed Grounds,18.48,01/09/2014 07:57
8411,Brew've Been Served,5.26,01/09/2014 07:57
9405,Hallowed Grounds,50.25,01/09/2014 07:57
6901,Brew've Been Served,19.47,01/09/2014 07:58
7819,Brew've Been Served,6.61,01/09/2014 08:00
4434,Brew've Been Served,6.21,01/09/2014 08:00
3484,Brew've Been Served,92.12,01/09/2014 08:01
2142,Coffee Cameleon,16.13,01/09/2014 08:03
3492,Hallowed Grounds,65.68,01/09/2014 08:07
1286,Brew've Been Served,17.64,01/09/2014 08:14
5407,Brew've Been Served,5.57,01/09/2014 08:15
2681,Hallowed Grounds,15.33,01/09/2014 08:15
3506,Abila Airport,2358.22,01/09/2014 09:26
7792,Carlyle Chemical Inc.,529.47,01/09/2014 09:54
9735,Nationwide Refinery,674.28,01/09/2014 10:16
3506,Stewart and Sons Fabrication,1015.65,01/09/2014 10:38
4530,Carlyle Chemical Inc.,732.82,01/09/2014 11:21
7792,Nationwide Refinery,289.3,01/09/2014 11:34
9735,Stewart and Sons Fabrication,3544,01/09/2014 11:37
7117,Coffee Shack,5.01,01/09/2014 12:00
1415,Bean There Done That,13,01/09/2014 12:00
7688,Brewed Awakenings,11.76,01/09/2014 12:00
6899,Jack's Magical Beans,10.11,01/09/2014 12:00
3853,Jack's Magical Beans,6,01/09/2014 12:00
2540,Brewed Awakenings,13.16,01/09/2014 12:00
1877,Bean There Done That,4.06,01/09/2014 12:00
8332,Brewed Awakenings,17.66,01/09/2014 12:00
1321,Bean There Done That,15.53,01/09/2014 12:00
9241,Jack's Magical Beans,12.13,01/09/2014 12:00
8156,Jack's Magical Beans,15.55,01/09/2014 12:00
2463,Jack's Magical Beans,37.43,01/09/2014 12:00
8642,Abila Airport,202.93,01/09/2014 12:13
3506,Nationwide Refinery,1440.39,01/09/2014 12:49
8332,Ouzeri Elian,31.03,01/09/2014 12:59
7253,Katerina's Cafe,17.02,01/09/2014 13:03
5407,Gelatogalore,19.2,01/09/2014 13:12
2276,Abila Airport,4792.5,01/09/2014 13:18
7688,Ouzeri Elian,26.09,01/09/2014 13:21
4795,Gelatogalore,23.45,01/09/2014 13:21
7354,Guy's Gyros,105.4,01/09/2014 13:21
6899,Gelatogalore,8.6,01/09/2014 13:23
2540,Gelatogalore,56.74,01/09/2014 13:23
6816,Ouzeri Elian,22.4,01/09/2014 13:23
7792,Katerina's Cafe,16.98,01/09/2014 13:23
3484,Abila Zacharo,8.16,01/09/2014 13:24
6895,Kalami Kafenion,110.76,01/09/2014 13:27
8156,Katerina's Cafe,25.85,01/09/2014 13:27
7889,Guy's Gyros,13.59,01/09/2014 13:28
2418,Hippokampos,27.47,01/09/2014 13:29
2463,Abila Zacharo,8.6,01/09/2014 13:32
3853,Katerina's Cafe,10.42,01/09/2014 13:35
8411,Gelatogalore,23.23,01/09/2014 13:35
9683,Hippokampos,27.93,01/09/2014 13:36
1321,Hippokampos,9.12,01/09/2014 13:37
7384,Kalami Kafenion,18.14,01/09/2014 13:38
1874,Abila Zacharo,20.73,01/09/2014 13:40
9405,Gelatogalore,11.94,01/09/2014 13:40
9551,Abila Zacharo,89.41,01/09/2014 13:41
9635,Hippokampos,8.43,01/09/2014 13:41
5368,Hippokampos,39.22,01/09/2014 13:41
1415,Guy's Gyros,74.91,01/09/2014 13:43
9617,Guy's Gyros,15,01/09/2014 13:44
2681,Gelatogalore,24.68,01/09/2014 13:45
1286,Abila Zacharo,48.39,01/09/2014 13:47
1310,Hippokampos,13.84,01/09/2014 13:51
2142,Hippokampos,16.65,01/09/2014 13:53
4948,Kalami Kafenion,19.84,01/09/2014 13:56
4434,Hippokampos,65.7,01/09/2014 13:56
6901,Guy's Gyros,8.87,01/09/2014 13:56
6691,Kalami Kafenion,35.99,01/09/2014 14:03
8129,Kalami Kafenion,10.94,01/09/2014 14:04
7108,Ouzeri Elian,32.89,01/09/2014 14:04
1877,Katerina's Cafe,8.01,01/09/2014 14:06
8202,Guy's Gyros,27.69,01/09/2014 14:09
2276,Abila Scrapyard,1158.36,01/09/2014 14:12
5921,Guy's Gyros,17.44,01/09/2014 14:13
7819,Abila Zacharo,14.37,01/09/2014 14:15
7117,Gelatogalore,36.75,01/09/2014 14:18
7792,Carlyle Chemical Inc.,382.43,01/09/2014 14:26
4530,Kronos Pipe and Irrigation,423.14,01/09/2014 14:28
2276,Stewart and Sons Fabrication,918.6,01/09/2014 15:00
4530,Maximum Iron and Steel,1527.14,01/09/2014 15:16
8642,Abila Airport,4538.52,01/09/2014 15:50
7792,Carlyle Chemical Inc.,2176.2,01/09/2014 16:22
2276,Nationwide Refinery,1322.5,01/09/2014 16:27
8129,Katerina's Cafe,35.92,01/09/2014 19:25
5921,Katerina's Cafe,26.6,01/09/2014 19:30
3484,Frydos Autosupply n' More,138.02,01/09/2014 19:32
7354,Guy's Gyros,31.81,01/09/2014 19:41
6899,Ouzeri Elian,27.08,01/09/2014 19:42
9241,Ouzeri Elian,31.07,01/09/2014 19:43
6816,Guy's Gyros,29.96,01/09/2014 19:52
2540,Hippokampos,15.02,01/09/2014 20:05
4948,Katerina's Cafe,26.6,01/09/2014 20:06
3492,Katerina's Cafe,19.02,01/09/2014 20:08
6691,Katerina's Cafe,90.97,01/09/2014 20:09
1877,Hippokampos,70.68,01/09/2014 20:15
4795,General Grocer,285.34,01/09/2014 20:19
9405,Katerina's Cafe,91.14,01/09/2014 20:20
6901,Frydos Autosupply n' More,31.24,01/09/2014 20:20
7117,Albert's Fine Clothing,224.52,01/09/2014 20:21
1321,Frydos Autosupply n' More,120.65,01/09/2014 20:21
8202,Katerina's Cafe,29.82,01/09/2014 20:22
7889,Guy's Gyros,8.23,01/09/2014 20:23
1286,Guy's Gyros,18.26,01/09/2014 20:24
5407,Katerina's Cafe,53.78,01/09/2014 20:27
