loyaltynum,location,price,timestamp
L8328,Hallowed Grounds,15.24,01/09/2014
L6417,Coffee Shack,5.01,01/09/2014
L2343,Brew've Been Served,18.25,01/09/2014
L6267,Hallowed Grounds,16.72,01/09/2014
L9018,Coffee Cameleon,4.88,01/09/2014
L1107,Hallowed Grounds,15.33,01/09/2014
L4034,Gelatogalore,19.2,01/09/2014
L9018,Hippokampos,27.47,01/09/2014
L6110,Gelatogalore,23.23,01/09/2014
L2247,Hippokampos,19.22,01/09/2014
L1107,Gelatogalore,24.68,01/09/2014
L9406,Kalami Kafenion,19.84,01/09/2014
L8328,Kalami Kafenion,10.94,01/09/2014
L6267,Kalami Kafenion,35.99,01/09/2014
L2343,Guy's Gyros,27.69,01/09/2014
L6417,Gelatogalore,36.75,01/09/2014
L8328,Katerina’s Café,35.92,01/09/2014
L9406,Katerina’s Café,26.6,01/09/2014
L6267,Katerina’s Café,30.97,01/09/2014
L2343,Katerina’s Café,29.82,01/09/2014
L6417,Albert's Fine Clothing,224.52,01/09/2014
L4034,Katerina’s Café,13.78,01/09/2014
L2247,Guy's Gyros,8.23,01/09/2014
L1107,Shoppers' Delight,258.43,01/09/2014
L8328,Hallowed Grounds,16.75,01/10/2014
L9406,Brew've Been Served,4.88,01/10/2014
L1107,Hallowed Grounds,17.63,01/10/2014
L9018,Coffee Cameleon,9.69,01/10/2014
L2247,Brew've Been Served,5.91,01/10/2014
L6267,Hallowed Grounds,9.34,01/10/2014
L6110,Brew've Been Served,14.36,01/10/2014
L9018,Katerina’s Café,21.22,01/10/2014
L1107,Abila Zacharo,31.34,01/10/2014
L4034,Kalami Kafenion,27.48,01/10/2014
L6110,Guy's Gyros,38.15,01/10/2014
L2247,Ouzeri Elian,24.74,01/10/2014
L8328,Guy's Gyros,16.34,01/10/2014
L6267,Abila Zacharo,9.32,01/10/2014
L2343,Gelatogalore,32.19,01/10/2014
L6417,Hippokampos,19.88,01/10/2014
L2343,Frydos Autosupply n' More,43.65,01/10/2014
L6110,Katerina’s Café,8.14,01/10/2014
L4034,Katerina’s Café,21.28,01/10/2014
L2247,Guy's Gyros,25.81,01/10/2014
L9018,Katerina’s Café,45.21,01/11/2014
L6267,Hippokampos,22.23,01/11/2014
L6417,Kalami Kafenion,35.66,01/11/2014
L9018,Shoppers' Delight,238.52,01/11/2014
L8328,General Grocer,78.02,01/11/2014
L6267,Katerina’s Café,20.71,01/11/2014
L2247,Guy's Gyros,36.2,01/11/2014
L9406,Katerina’s Café,25.76,01/11/2014
L2343,Katerina’s Café,52.45,01/11/2014
L8328,Frydos Autosupply n' More,236.25,01/11/2014
L6417,Hippokampos,69.8,01/11/2014
L9018,Katerina’s Café,94.68,01/11/2014
L4034,Ouzeri Elian,98.45,01/12/2014
L6417,Hippokampos,29.2,01/12/2014
L8328,Guy's Gyros,30.47,01/12/2014
L4034,Kronos Mart,147.3,01/12/2014
L6417,General Grocer,159.3,01/12/2014
L4034,Katerina’s Café,40.94,01/12/2014
L2247,Frydos Autosupply n' More,88.93,01/12/2014
L8328,Katerina’s Café,39.3,01/12/2014
L6110,Katerina’s Café,16.34,01/12/2014
L9406,Katerina’s Café,40.25,01/12/2014
L2343,Frydos Autosupply n' More,161.96,01/12/2014
L9406,Brew've Been Served,9.53,01/13/2014
L6267,Hallowed Grounds,6.32,01/13/2014
L6110,Brew've Been Served,13.37,01/13/2014
L9018,Coffee Cameleon,17.49,01/13/2014
L6417,Coffee Shack,4.09,01/13/2014
L1107,Hallowed Grounds,15.96,01/13/2014
L2343,Brew've Been Served,19.89,01/13/2014
L9018,Katerina’s Café,38.98,01/13/2014
L4034,Hippokampos,14.04,01/13/2014
L6110,Guy's Gyros,21.03,01/13/2014
L2247,Kalami Kafenion,20.33,01/13/2014
L2343,Gelatogalore,36.24,01/13/2014
L6417,Guy's Gyros,38.07,01/13/2014
L1107,Gelatogalore,37.17,01/13/2014
L9406,Hippokampos,26.96,01/13/2014
L8328,Guy's Gyros,36.87,01/13/2014
L8328,Frydos Autosupply n' More,188.57,01/13/2014
L6110,Frydos Autosupply n' More,64.6,01/13/2014
L1107,Ouzeri Elian,21.83,01/13/2014
L4034,Katerina’s Café,33.57,01/13/2014
L2247,Guy's Gyros,19.77,01/13/2014
L6417,Hippokampos,32.29,01/13/2014
L9018,Frydos Autosupply n' More,202.05,01/13/2014
L2247,Brew've Been Served,14.67,01/14/2014
L8328,Hallowed Grounds,16.67,01/14/2014
L9406,Brew've Been Served,14.04,01/14/2014
L2343,Brew've Been Served,9.53,01/14/2014
L9018,Coffee Cameleon,11.67,01/14/2014
L1107,Hallowed Grounds,10.65,01/14/2014
L4034,Brew've Been Served,16.39,01/14/2014
L6417,Coffee Shack,3.63,01/14/2014
L6267,Hallowed Grounds,6.16,01/14/2014
L6110,Brew've Been Served,11.53,01/14/2014
L6110,Abila Zacharo,31.09,01/14/2014
L4034,Kalami Kafenion,33.13,01/14/2014
L9018,Katerina’s Café,11.26,01/14/2014
L6267,Katerina’s Café,31.69,01/14/2014
L1107,Ouzeri Elian,33.67,01/14/2014
L9406,Kalami Kafenion,27.65,01/14/2014
L2247,Gelatogalore,35.97,01/14/2014
L6417,Ouzeri Elian,19.7,01/14/2014
L8328,Gelatogalore,22.03,01/14/2014
L2343,Hippokampos,16.73,01/14/2014
L2247,Guy's Gyros,35.12,01/14/2014
L4034,Katerina’s Café,31.94,01/14/2014
L2343,Katerina’s Café,26.61,01/14/2014
L1107,Ouzeri Elian,20.95,01/14/2014
L6110,Katerina’s Café,25.4,01/14/2014
L6267,Katerina’s Café,28.05,01/14/2014
L9406,Frydos Autosupply n' More,49.21,01/14/2014
L6267,Hallowed Grounds,18.69,01/15/2014
L9406,Brew've Been Served,3.14,01/15/2014
L2247,Brew've Been Served,8.42,01/15/2014
L6110,Brew've Been Served,5.75,01/15/2014
L6417,Coffee Shack,18.17,01/15/2014
L9018,Coffee Cameleon,16.31,01/15/2014
L1107,Hallowed Grounds,14.39,01/15/2014
L2343,Brew've Been Served,3.47,01/15/2014
L9018,Katerina’s Café,28.56,01/15/2014
L4034,Kalami Kafenion,38.5,01/15/2014
L2247,Ouzeri Elian,25.7,01/15/2014
L6110,Kalami Kafenion,37.15,01/15/2014
L6267,Guy's Gyros,12.19,01/15/2014
L6417,Gelatogalore,24.96,01/15/2014
L8328,Ouzeri Elian,26.61,01/15/2014
L2343,Guy's Gyros,16.58,01/15/2014
L1107,Gelatogalore,22.36,01/15/2014
L9406,Abila Zacharo,26.82,01/15/2014
L6267,Katerina’s Café,36.8,01/15/2014
L2247,Guy's Gyros,24.91,01/15/2014
L4034,Katerina’s Café,38.81,01/15/2014
L6110,Katerina’s Café,29.33,01/15/2014
L9018,Katerina’s Café,29.66,01/15/2014
L2343,Katerina’s Café,21.61,01/15/2014
L6417,Albert's Fine Clothing,228.15,01/15/2014
L9406,Frydos Autosupply n' More,276.88,01/15/2014
L1107,Ouzeri Elian,8.57,01/15/2014
L2247,Brew've Been Served,5.05,01/16/2014
L8328,Hallowed Grounds,17.92,01/16/2014
L6417,Coffee Shack,10.48,01/16/2014
L9406,Brew've Been Served,3.84,01/16/2014
L9018,Coffee Cameleon,3.14,01/16/2014
L6267,Hallowed Grounds,18.23,01/16/2014
L1107,Hallowed Grounds,4.6,01/16/2014
L6110,Brew've Been Served,11.21,01/16/2014
L4034,Katerina’s Café,39.74,01/16/2014
L6267,Hippokampos,13.05,01/16/2014
L9406,Abila Zacharo,24.38,01/16/2014
L2247,Katerina’s Café,38.32,01/16/2014
L2343,Kalami Kafenion,9.27,01/16/2014
L9018,Ouzeri Elian,8.52,01/16/2014
L6417,Ouzeri Elian,8.47,01/16/2014
L1107,Ouzeri Elian,31.21,01/16/2014
L8328,Guy's Gyros,36.48,01/16/2014
L2247,Octavio's Office Supplies,131.01,01/16/2014
L6110,Katerina’s Café,13.68,01/16/2014
L4034,Katerina’s Café,29.3,01/16/2014
L6417,Albert's Fine Clothing,283.38,01/16/2014
L8328,Katerina’s Café,18.79,01/16/2014
L1107,Ouzeri Elian,22.65,01/16/2014
L9018,Katerina’s Café,35.43,01/16/2014
L2343,Katerina’s Café,30.56,01/16/2014
L9406,Frydos Autosupply n' More,130.01,01/16/2014
L2247,Brew've Been Served,11.69,01/17/2014
L9406,Brew've Been Served,8.07,01/17/2014
L6417,Coffee Shack,19.16,01/17/2014
L6267,Hallowed Grounds,5.52,01/17/2014
L9018,Coffee Cameleon,7.49,01/17/2014
L4034,Brew've Been Served,18.15,01/17/2014
L6110,Brew've Been Served,14.58,01/17/2014
L9018,Hippokampos,38.21,01/17/2014
L1107,Gelatogalore,18.1,01/17/2014
L6267,Hippokampos,23.54,01/17/2014
L6110,Kalami Kafenion,24.21,01/17/2014
L2343,Guy's Gyros,15.12,01/17/2014
L6417,Guy's Gyros,21.1,01/17/2014
L2247,Abila Zacharo,11.95,01/17/2014
L9406,Katerina’s Café,30.72,01/17/2014
L8328,Ouzeri Elian,26.1,01/17/2014
L9018,Katerina’s Café,21.16,01/17/2014
L6417,Hippokampos,19.76,01/17/2014
L9406,Frydos Autosupply n' More,124.52,01/17/2014
L8328,Katerina’s Café,14.93,01/17/2014
L2343,Katerina’s Café,36.12,01/17/2014
L1107,Ouzeri Elian,26.4,01/17/2014
L4034,Katerina’s Café,33.73,01/17/2014
L2247,Frydos Autosupply n' More,67.29,01/17/2014
L6267,Katerina’s Café,34.54,01/18/2014
L2247,Kalami Kafenion,30.12,01/18/2014
L2343,Kalami Kafenion,42.73,01/18/2014
L1107,Gelatogalore,24.38,01/18/2014
L6110,Katerina’s Café,37.26,01/18/2014
L2247,Frydos Autosupply n' More,103.41,01/18/2014
L6267,Albert's Fine Clothing,189.52,01/18/2014
L4034,Frydos Autosupply n' More,234.53,01/18/2014
L2247,Guy's Gyros,28.07,01/18/2014
L1107,Ouzeri Elian,14.9,01/18/2014
L9018,Katerina’s Café,32.68,01/18/2014
L6110,Katerina’s Café,45.88,01/18/2014
L6417,Hippokampos,55.03,01/18/2014
L5777,Albert's Fine Clothing,276.9,01/06/2014
L5777,Hallowed Grounds,8.05,01/06/2014
L7783,Bean There Done That,10.28,01/06/2014
L7783,Guy's Gyros,15.44,01/06/2014
L7783,Hippokampos,21.33,01/06/2014
L3191,Bean There Done That,16.09,01/06/2014
L3191,Guy's Gyros,30.82,01/06/2014
L4164,Abila Zacharo,30.08,01/06/2014
L4164,Brewed Awakenings,5.72,01/06/2014
L4164,Hippokampos,17.27,01/06/2014
L6267,Jack's Magical Beans,11.03,01/06/2014
L6267,Katerina’s Café,18.56,01/06/2014
L1682,Coffee Cameleon,8.73,01/06/2014
L1682,Gelatogalore,12.74,01/06/2014
L1682,Katerina’s Café,23.63,01/06/2014
L1485,Brew've Been Served,18.24,01/06/2014
L1485,Katerina’s Café,39.41,01/06/2014
L5947,Brewed Awakenings,16.89,01/06/2014
L5947,Ouzeri Elian,38.9,01/06/2014
L6119,Gelatogalore,22.64,01/06/2014
L3014,Bean There Done That,8.54,01/06/2014
L3014,Hippokampos,8.64,01/06/2014
L3014,Hippokampos,26.8,01/06/2014
L2070,Brewed Awakenings,4.35,01/06/2014
L2070,Hippokampos,20.61,01/06/2014
L4149,Bean There Done That,5.24,01/06/2014
L4149,Hippokampos,35.34,01/06/2014
L6544,Abila Zacharo,18.11,01/06/2014
L6544,Guy's Gyros,15.29,01/06/2014
L6544,Hallowed Grounds,12.22,01/06/2014
L4424,Hallowed Grounds,10.07,01/06/2014
L4424,Katerina’s Café,13.59,01/06/2014
L4424,Katerina’s Café,12.32,01/06/2014
L5259,Brew've Been Served,8.88,01/06/2014
L5259,Gelatogalore,23.41,01/06/2014
L5259,Guy's Gyros,28.94,01/06/2014
L3800,Brew've Been Served,4.24,01/06/2014
L3800,Guy's Gyros,16.92,01/06/2014
L3800,Guy's Gyros,39.29,01/06/2014
L5553,Hallowed Grounds,16.72,01/06/2014
L5553,Katerina’s Café,32.64,01/06/2014
L3366,Bean There Done That,4.27,01/06/2014
L3366,Hippokampos,25.5,01/06/2014
L3366,Ouzeri Elian,20.4,01/06/2014
L8148,Brew've Been Served,8.33,01/06/2014
L8148,Guy's Gyros,37.82,01/06/2014
L8148,Ouzeri Elian,20.56,01/06/2014
L4063,Carlyle Chemical Inc.,3959.66,01/06/2014
L4063,Abila Airport,4540.08,01/06/2014
L4063,Abila Airport,777.06,01/06/2014
L4063,Kronos Pipe and Irrigation,242.21,01/06/2014
L4063,Maximum Iron and Steel,2859.51,01/06/2014
L4063,Ouzeri Elian,16.84,01/06/2014
L3572,Brew've Been Served,14.97,01/06/2014
L2490,Brew've Been Served,3.67,01/06/2014
L2490,Guy's Gyros,22.57,01/06/2014
L2490,Kalami Kafenion,30.1,01/06/2014
L2490,U-Pump,59.51,01/06/2014
L2769,Abila Airport,612.47,01/06/2014
L2169,Albert's Fine Clothing,121.76,01/06/2014
L2169,Brew've Been Served,15.58,01/06/2014
L2169,Kalami Kafenion,22.31,01/06/2014
L9633,Nationwide Refinery,761.64,01/06/2014
L9633,Stewart and Sons Fabrication,2144.62,01/06/2014
L9637,Coffee Cameleon,11.86,01/06/2014
L9637,Frydos Autosupply n' More,197.32,01/06/2014
L8012,Frydos Autosupply n' More,274.98,01/06/2014
L8012,Guy's Gyros,11.22,01/06/2014
L3288,Abila Zacharo,50.14,01/06/2014
L3288,Frydos Autosupply n' More,253.87,01/06/2014
L3288,Jack's Magical Beans,18.59,01/06/2014
L7814,Gelatogalore,36.33,01/06/2014
L7814,Hallowed Grounds,10.66,01/06/2014
L7814,Katerina’s Café,26.1,01/06/2014
L3259,Abila Zacharo,23.15,01/06/2014
L3259,Brew've Been Served,12.83,01/06/2014
L3259,Katerina’s Café,17.92,01/06/2014
L3295,Coffee Cameleon,8.39,01/06/2014
L3295,Katerina’s Café,15.52,01/06/2014
L3295,Ouzeri Elian,30.87,01/06/2014
L9363,Brew've Been Served,5.66,01/06/2014
L9363,Guy's Gyros,11.94,01/06/2014
L9363,Katerina’s Café,19.65,01/06/2014
L5224,Jack's Magical Beans,7.84,01/06/2014
L7291,Brew've Been Served,16.9,01/06/2014
L7291,Ouzeri Elian,34.71,01/06/2014
L8566,Brew've Been Served,11.34,01/06/2014
L8566,Hippokampos,13.26,01/06/2014
L9254,Abila Zacharo,12.05,01/06/2014
L9254,Brew've Been Served,10.68,01/06/2014
L9254,Shoppers' Delight,293.67,01/06/2014
L6886,Guy's Gyros,19.67,01/06/2014
L6886,Jack's Magical Beans,18.1,01/06/2014
L5777,Gelatogalore,21.52,01/07/2014
L5777,Hallowed Grounds,4.44,01/07/2014
L5777,Ouzeri Elian,25.27,01/07/2014
L7783,Abila Zacharo,13.52,01/07/2014
L7783,Bean There Done That,11.25,01/07/2014
L7783,Hippokampos,11.56,01/07/2014
L3191,Guy's Gyros,10.11,01/07/2014
L4164,Abila Zacharo,12.72,01/07/2014
L4164,Hippokampos,15.85,01/07/2014
L6267,Abila Zacharo,22.25,01/07/2014
L6267,Jack's Magical Beans,3.68,01/07/2014
L1682,Coffee Cameleon,7.66,01/07/2014
L1682,Gelatogalore,34.04,01/07/2014
L1682,Katerina’s Café,19.49,01/07/2014
L1485,Brewed Awakenings,4.84,01/07/2014
L1485,Guy's Gyros,22.33,01/07/2014
L1485,Hippokampos,31.69,01/07/2014
L5947,Brewed Awakenings,11.59,01/07/2014
L5947,Guy's Gyros,34.09,01/07/2014
L5947,Hippokampos,21.2,01/07/2014
L6119,Hallowed Grounds,14.05,01/07/2014
L6119,Katerina’s Café,22.27,01/07/2014
L6119,Katerina’s Café,14.75,01/07/2014
L3014,Bean There Done That,13.89,01/07/2014
L3014,Hippokampos,20.17,01/07/2014
L3014,Kalami Kafenion,22.83,01/07/2014
L2070,Brewed Awakenings,6.72,01/07/2014
L2070,Gelatogalore,35.06,01/07/2014
L2070,Hippokampos,22.18,01/07/2014
L4149,Bean There Done That,8.03,01/07/2014
L4149,Hippokampos,10.19,01/07/2014
L6544,Hallowed Grounds,18.97,01/07/2014
L6544,Kalami Kafenion,22.14,01/07/2014
L4424,Gelatogalore,31.77,01/07/2014
L5259,Abila Zacharo,25.9,01/07/2014
L5259,Guy's Gyros,14.87,01/07/2014
L3800,Brew've Been Served,5.08,01/07/2014
L3800,Guy's Gyros,22.25,01/07/2014
L3800,Kalami Kafenion,25.9,01/07/2014
L5553,Guy's Gyros,12.57,01/07/2014
L5553,Hallowed Grounds,9.92,01/07/2014
L5553,Katerina’s Café,17.26,01/07/2014
L3366,Albert's Fine Clothing,228.36,01/07/2014
L3366,Bean There Done That,6.25,01/07/2014
L3366,Ouzeri Elian,24.84,01/07/2014
L8148,Guy's Gyros,11.31,01/07/2014
L7761,Abila Airport,3840.37,01/07/2014
L7761,Stewart and Sons Fabrication,1200.9,01/07/2014
L3572,Brew've Been Served,11.92,01/07/2014
L2490,Brew've Been Served,9.06,01/07/2014
L2490,Guy's Gyros,31.23,01/07/2014
L2490,Katerina’s Café,31.41,01/07/2014
L2769,Abila Airport,124.89,01/07/2014
L2769,Abila Airport,3411.29,01/07/2014
L2169,Brew've Been Served,3,01/07/2014
L2169,Katerina’s Café,10.9,01/07/2014
L5756,Carlyle Chemical Inc.,3827.2,01/07/2014
L5756,Katerina’s Café,19.07,01/07/2014
L5756,Nationwide Refinery,1562.66,01/07/2014
L9633,Nationwide Refinery,1347.36,01/07/2014
L9633,Stewart and Sons Fabrication,1783.33,01/07/2014
L8477,Kronos Pipe and Irrigation,3920.82,01/07/2014
L8477,Maximum Iron and Steel,3207.31,01/07/2014
L9637,Coffee Cameleon,11.55,01/07/2014
L9637,Katerina’s Café,10.07,01/07/2014
L9637,Ouzeri Elian,29.1,01/07/2014
L8012,Hallowed Grounds,7.88,01/07/2014
L8012,Katerina’s Café,18.35,01/07/2014
L3288,Jack's Magical Beans,18.77,01/07/2014
L3288,Kalami Kafenion,45.05,01/07/2014
L3288,Ouzeri Elian,11.41,01/07/2014
L7814,Hallowed Grounds,9.61,01/07/2014
L7814,Hippokampos,16.11,01/07/2014
L7814,Katerina’s Café,32.83,01/07/2014
L3259,Brew've Been Served,14.49,01/07/2014
L3259,Gelatogalore,17.21,01/07/2014
L3259,Katerina’s Café,33.29,01/07/2014
L3295,Coffee Cameleon,9.1,01/07/2014
L3295,Gelatogalore,8.97,01/07/2014
L3295,Katerina’s Café,19.53,01/07/2014
L9363,Brew've Been Served,7.74,01/07/2014
L9363,Frydos Autosupply n' More,272.73,01/07/2014
L9363,Ouzeri Elian,19.51,01/07/2014
L3317,Abila Scrapyard,2149.28,01/07/2014
L3317,Abila Airport,1641.96,01/07/2014
L3317,Nationwide Refinery,889.58,01/07/2014
L5224,Guy's Gyros,29.57,01/07/2014
L5224,Jack's Magical Beans,19.61,01/07/2014
L7291,Abila Zacharo,17.81,01/07/2014
L7291,Brew've Been Served,18.53,01/07/2014
L8566,Kalami Kafenion,18.06,01/07/2014
L9254,Brewed Awakenings,12.59,01/07/2014
L9254,Guy's Gyros,38.56,01/07/2014
L9254,Guy's Gyros,9.76,01/07/2014
L6886,Gelatogalore,8.98,01/07/2014
L6886,Hippokampos,37.88,01/07/2014
L6886,Jack's Magical Beans,9.84,01/07/2014
L5777,Hippokampos,39.8,01/08/2014
L5777,Ouzeri Elian,10.81,01/08/2014
L7783,Abila Zacharo,14.41,01/08/2014
L7783,Bean There Done That,17.45,01/08/2014
L7783,Hippokampos,10.52,01/08/2014
L3191,Albert's Fine Clothing,136.01,01/08/2014
L3191,Bean There Done That,12.07,01/08/2014
L3191,Hippokampos,28.79,01/08/2014
L4164,Brewed Awakenings,11.73,01/08/2014
L4164,Hippokampos,26.31,01/08/2014
L4164,Ouzeri Elian,32.61,01/08/2014
L6267,Jack's Magical Beans,3.96,01/08/2014
L6267,Katerina’s Café,8.53,01/08/2014
L6267,Ouzeri Elian,29.85,01/08/2014
L1682,Coffee Cameleon,6.59,01/08/2014
L1682,Hippokampos,16.59,01/08/2014
L1682,Katerina’s Café,19.12,01/08/2014
L1485,Brew've Been Served,12.92,01/08/2014
L1485,Frank's Fuel,65.34,01/08/2014
L1485,Frydos Autosupply n' More,182.56,01/08/2014
L1485,Guy's Gyros,17.9,01/08/2014
L5947,Brewed Awakenings,12.32,01/08/2014
L5947,Chostus Hotel,107.51,01/08/2014
L5947,Hippokampos,16.54,01/08/2014
L6119,Gelatogalore,35.29,01/08/2014
L6119,Hallowed Grounds,19.92,01/08/2014
L6119,Katerina’s Café,36.6,01/08/2014
L3014,Hippokampos,12.62,01/08/2014
L2070,Hippokampos,26.55,01/08/2014
L2070,Hippokampos,15.64,01/08/2014
L4149,Bean There Done That,14.96,01/08/2014
L4149,Hippokampos,37.89,01/08/2014
L6544,General Grocer,265.84,01/08/2014
L4424,Guy's Gyros,15.86,01/08/2014
L4424,Hallowed Grounds,8.15,01/08/2014
L4424,Katerina’s Café,27.87,01/08/2014
L5259,Brew've Been Served,17.13,01/08/2014
L5259,Gelatogalore,36.72,01/08/2014
L3800,Brew've Been Served,3.42,01/08/2014
L3800,Guy's Gyros,30.12,01/08/2014
L3800,Guy's Gyros,28.81,01/08/2014
L5553,Abila Zacharo,16.2,01/08/2014
L5553,Hallowed Grounds,3.4,01/08/2014
L3366,Bean There Done That,16.18,01/08/2014
L3366,Hippokampos,32.66,01/08/2014
L3366,Katerina’s Café,37.04,01/08/2014
L8148,Brew've Been Served,8.27,01/08/2014
L8148,Kalami Kafenion,14.77,01/08/2014
L3572,Brew've Been Served,7.26,01/08/2014
L2490,Brew've Been Served,11.87,01/08/2014
L2490,Gelatogalore,39.75,01/08/2014
L2490,Guy's Gyros,19.08,01/08/2014
L2769,Abila Airport,2723.18,01/08/2014
L2769,Abila Airport,2769.12,01/08/2014
L2169,Brew've Been Served,6.3,01/08/2014
L2169,Guy's Gyros,10.34,01/08/2014
L2169,Guy's Gyros,30.48,01/08/2014
L5485,Nationwide Refinery,4513.16,01/08/2014
L5485,Stewart and Sons Fabrication,1738.26,01/08/2014
L5756,Carlyle Chemical Inc.,4901.88,01/08/2014
L5756,Katerina’s Café,29.26,01/08/2014
L5756,Nationwide Refinery,4367.43,01/08/2014
L9633,Nationwide Refinery,3674.32,01/08/2014
L9633,Stewart and Sons Fabrication,1673.77,01/08/2014
L8477,Carlyle Chemical Inc.,4983.52,01/08/2014
L8477,Kronos Pipe and Irrigation,3615.61,01/08/2014
L8477,Maximum Iron and Steel,3136.01,01/08/2014
L9637,Coffee Cameleon,15.71,01/08/2014
L9637,Katerina’s Café,26.45,01/08/2014
L9637,Katerina’s Café,33.31,01/08/2014
L8012,Katerina’s Café,31.59,01/08/2014
L3288,Gelatogalore,50.36,01/08/2014
L3288,Jack's Magical Beans,18.78,01/08/2014
L3288,Ouzeri Elian,62.2,01/08/2014
L7814,Hallowed Grounds,3.11,01/08/2014
L7814,Kalami Kafenion,23.82,01/08/2014
L3259,Brew've Been Served,13.68,01/08/2014
L3259,Gelatogalore,20.72,01/08/2014
L3295,Coffee Cameleon,12.26,01/08/2014
L3295,Kalami Kafenion,24.08,01/08/2014
L3295,Katerina’s Café,32.83,01/08/2014
L9363,Abila Zacharo,30.85,01/08/2014
L9363,Brew've Been Served,10.15,01/08/2014
L5224,Jack's Magical Beans,12.37,01/08/2014
L5224,Ouzeri Elian,29.73,01/08/2014
L7291,Brew've Been Served,19.17,01/08/2014
L7291,Chostus Hotel,111.89,01/08/2014
L7291,Guy's Gyros,18.24,01/08/2014
L8566,Brew've Been Served,12.3,01/08/2014
L8566,Hippokampos,9.03,01/08/2014
L9254,Brew've Been Served,15.66,01/08/2014
L9254,Guy's Gyros,15.69,01/08/2014
L9254,Kalami Kafenion,31.96,01/08/2014
L6886,Abila Zacharo,36.85,01/08/2014
L6886,Hippokampos,18.99,01/08/2014
L6886,Jack's Magical Beans,11.25,01/08/2014
L5777,Abila Zacharo,29.41,01/09/2014
L5777,Hallowed Grounds,14.45,01/09/2014
L7783,Bean There Done That,13,01/09/2014
